"RNAseqID","Mouse","year","Genotype","Subfield","jobnumber","Group","APA","Conflict","APA_Conflict","Treatment"
"143B-CA1-1","15-143B",2015,"WT","CA1","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"143B-DG-1","15-143B",2015,"WT","DG","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"144B-CA1-1","15-144B",2015,"WT","CA1","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"144B-CA3-1","15-144B",2015,"WT","CA3","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"145B-CA1-1","15-145B",2015,"WT","CA1","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"145B-DG-1","15-145B",2015,"WT","DG","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"146B-CA1-2","15-146B",2015,"WT","CA1","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"146B-CA3-2","15-146B",2015,"WT","CA3","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"146B-DG-2","15-146B",2015,"WT","DG","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"147-CA1-4","15-147",2015,"WT","CA1","JA16444","homecage",NA,NA,"NA_NA","homecage"
"147-CA3-4","15-147",2015,"WT","CA3","JA16444","homecage",NA,NA,"NA_NA","homecage"
"147-DG-4","15-147",2015,"WT","DG","JA16444","homecage",NA,NA,"NA_NA","homecage"
"148-CA1-2","15-148",2015,"WT","CA1","JA16444","homecage",NA,NA,"NA_NA","homecage"
"148-CA3-2","15-148",2015,"WT","CA3","JA16444","homecage",NA,NA,"NA_NA","homecage"
"148-DG-2","15-148",2015,"WT","DG","JA16444","homecage",NA,NA,"NA_NA","homecage"
"148B-CA1-4","15-148B",2015,"WT","CA1","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"148B-CA3-4","15-148B",2015,"WT","CA3","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
"148B-DG-4","15-148B",2015,"WT","DG","JA16444","control","Yoked","Conflict","Yoked_Conflict","shocked"
