"GO","GOterm","enriched","ratio","pval"
"CC"," cytosolic large ribosomal subunit","DISS","33/53",1e-15
"CC"," ribosome","DISS","60/208",1e-15
"CC"," extracellular region","DISS","101/985",4.1e-15
"CC"," extracellular space","DISS","122/957",3.4e-14
"CC"," nucleoplasm part","HOMO","38/529",6.3e-14
"CC"," cytosolic small ribosomal subunit","DISS","20/41",7.9e-14
"CC"," cytosolic part","DISS","63/194",3.6e-13
"CC"," large ribosomal subunit","DISS","35/106",5.2e-12
"CC"," cell-substrate junction","DISS","87/356",1.1e-11
"CC"," extracellular membrane-bounded organelle","DISS","174/1126",2e-11
"CC"," small ribosomal subunit","DISS","22/68",6.2e-11
"CC"," synapse part","HOMO","83/522",2.4e-09
"CC"," anchoring junction","DISS","115/628",3.6e-09
"CC"," nuclear body","HOMO","16/238",6.3e-09
"CC"," extracellular matrix","DISS","51/384",1.2e-08
"CC"," synaptic membrane","HOMO","39/237",1.2e-08
"CC"," cell surface","DISS","89/507",1.4e-08
"CC"," organelle inner membrane","DISS","39/386",1.5e-08
"CC"," membrane-bounded vesicle","DISS","219/1505",5.7e-08
"CC"," mitochondrial membrane","DISS","51/495",3.7e-07
"CC"," mitochondrial part","DISS","67/725",5.4e-07
"CC"," postsynaptic density","HOMO","42/210",5.7e-07
"CC"," myelin sheath","DISS","28/175",5.8e-07
"CC"," respiratory chain complex I","DISS","6/42",4e-06
"CC"," side of membrane","DISS","39/272",5.6e-06
"CC"," mitochondrial membrane part","DISS","24/170",1.1e-05
"CC"," chromosome","HOMO","18/331",1.9e-05
"CC"," dendrite","HOMO","68/413",2.8e-05
"CC"," microtubule organizing center part","HOMO","7/130",3.3e-05
"CC"," transferase complex","HOMO","20/303",3.9e-05
"CC"," chromosomal part","HOMO","53/592",4.2e-05
"CC"," methyltransferase complex","HOMO","9/74",7.7e-05
"CC"," ciliary basal body","HOMO","8/102",7.8e-05
"CC"," proton-transporting two-sector ATPase complex","DISS","5/29",9.8e-05
"CC"," mitochondrial proton-transporting ATP synthase complex","DISS","4/16",9.9e-05
"CC"," cell projection part","HOMO","123/864",0.00031
"CC"," cytochrome complex","DISS","8/26",0.00031
"CC"," mitochondrion","DISS","125/1424",0.00039
"CC"," dendritic shaft","HOMO","11/58",0.00052
"CC"," Golgi apparatus","HOMO","113/1046",0.00069
"CC"," proteinaceous extracellular matrix","DISS","23/247",0.001
"CC"," oxidoreductase complex","DISS","10/87",0.0011
"CC"," catalytic complex","HOMO","55/645",0.0013
"CC"," PML body","HOMO","4/71",0.0013
"CC"," cytoskeletal part","HOMO","151/1308",0.0013
"CC"," synapse","HOMO","69/506",0.0014
"CC"," microtubule organizing center","HOMO","40/516",0.002
"CC"," transporter complex","HOMO","44/250",0.0026
"CC"," phagocytic cup","DISS","5/12",0.0027
"CC"," neuron spine","HOMO","25/130",0.0029
"CC"," MHC class I protein complex","DISS","4/10",0.0046
"CC"," sarcoplasmic reticulum membrane","HOMO","5/19",0.0051
"CC"," cytoskeleton","HOMO","138/1238",0.0058
"CC"," MHC protein complex","DISS","4/17",0.0062
"CC"," centriole","HOMO","6/92",0.0062
"CC"," ubiquitin ligase complex","HOMO","11/153",0.0065
