"","dg_d_1","dg_d_2","dg_d_3","dg_v_1","dg_v_2","dg_v_3","ca3_d_1","ca3_d_2","ca3_d_3","ca3_v_1","ca3_v_2","ca3_v_3","ca1_d_1","ca1_d_2","ca1_d_3","ca1_v_1","ca1_v_2","ca1_v_3"
"0610005C13Rik",0,56,56,84,168,168,196,28,0,112,84,168,112,112,0,0,112,0
"0610007C21Rik",9156,16268,12124,19992,15036,19628,13608,16688,13188,21784,24472,28756,19684,19880,15904,4928,2996,5264
"0610007L01Rik",11816,6468,6608,18144,16352,11536,22008,23408,15988,24640,25144,25032,27244,32088,30968,8400,5628,8064
"0610007N19Rik",0,0,0,0,112,0,0,0,0,0,28,0,0,0,0,0,0,0
"0610007P08Rik",18592,14952,5152,16940,17304,22624,10248,12656,15708,11704,15876,15204,22512,18648,14560,6104,1652,3640
"0610007P14Rik",18312,13804,12852,23044,27244,25648,31108,27132,36092,31248,28980,33488,31528,43120,46396,8456,8092,15344
"0610007P22Rik",1372,112,1064,3640,2912,5292,1428,3584,588,2884,3584,4060,2660,5544,1540,2744,924,1848
"0610008F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,0,168,0,84,0,0,476,0,28,0,0,0,0,0
"0610009B22Rik",5068,8848,3192,9660,13944,17416,24836,22960,21252,27636,30940,43036,19964,29680,16436,7476,4676,9800
"0610009D07Rik",5796,2940,4760,4564,5824,6048,6440,6468,6608,12180,10276,15092,10276,15624,11536,2324,2044,3528
"0610009E02Rik",980,224,588,252,112,280,224,112,224,168,196,28,84,364,252,0,0,0
"0610009L18Rik",0,0,0,1260,0,0,196,1428,308,476,1148,700,28,2016,224,0,280,28
"0610009O20Rik",196,11172,1092,6356,3164,9156,5208,7840,2968,10612,13188,6664,5992,13020,7868,2632,1540,4480
"0610010F05Rik",9212,6804,7196,22876,14112,20692,44212,55776,49168,40656,47992,61124,45808,52192,48300,13944,10864,14896
"0610010K14Rik",224,0,0,56,224,392,0,392,0,0,0,28,0,336,0,56,0,0
"0610010O12Rik",7000,7224,4620,4452,4592,3556,7196,6104,8624,3556,4312,7364,5572,7504,4984,1232,896,1512
"0610011F06Rik",1428,6720,6440,5936,3780,7756,7028,3892,3276,10248,7056,6804,4872,7280,5264,868,1876,3192
"0610011L14Rik",2268,1456,5012,9968,5404,9800,12068,13776,8624,22988,17108,13888,14336,19012,22064,4144,3948,5040
"0610012D04Rik",0,0,0,0,0,84,0,0,0,0,0,28,0,84,392,0,0,0
"0610012G03Rik",3668,1540,5740,3920,4620,3164,6944,8008,7224,9632,7896,7196,10724,8036,6692,1176,1344,2856
"0610012H03Rik",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",3276,9268,7560,14000,9268,5712,5012,7728,6300,6412,10500,11088,9072,11788,5320,3416,3948,1680
"0610031J06Rik",1148,7000,17024,15848,8176,7672,8568,9184,7840,14868,21336,16436,13524,20972,17052,5880,3276,5180
"0610037L13Rik",26964,11536,25508,74956,66556,100352,36652,28448,27216,60284,54768,54348,47068,48664,47908,21056,9044,15848
"0610037P05Rik",9660,3220,12908,18144,11116,16996,16156,19852,20216,23828,27160,26348,21532,38808,27888,6944,4900,10192
"0610038L08Rik",0,868,0,28,56,924,0,28,0,0,0,0,28,28,0,280,112,112
"0610038P03Rik",0,0,0,56,0,0,0,364,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",0,0,0,0,0,0,0,112,0,0,28,0,0,0,0,0,0,0
"0610040B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",28,28,840,1232,448,1764,364,588,560,1008,504,756,1092,2688,112,168,196,476
"0610040F04Rik",56,0,140,0,308,56,0,0,168,168,0,784,504,252,0,0,28,168
"0610040J01Rik",0,0,0,336,0,0,0,0,0,224,0,168,308,0,0,0,0,0
"0610043K17Rik",0,0,0,616,140,868,392,336,924,812,1512,700,1708,1792,924,0,84,392
"0910001L09Rik",1316,2100,8260,6076,5908,3500,5628,6104,3360,7868,7532,5460,6972,6384,3164,2744,980,1428
"1010001B22Rik",0,280,0,112,112,0,0,0,0,0,168,112,0,0,0,0,0,0
"1010001N08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100001G20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110001A16Rik",2632,252,1316,1932,3528,1820,3836,3780,5880,5544,3192,5208,4396,3556,2828,2632,616,1988
"1110001J03Rik",3892,924,1176,2240,1876,3108,4732,3864,2940,4396,6048,9632,4816,8820,3948,196,812,1960
"1110002B05Rik",2128,504,2128,2772,3836,1596,1120,6944,7056,5236,2800,11144,6916,8820,6804,476,1036,2324
"1110002E22Rik",5292,364,3612,9016,14280,10668,224,0,0,56,364,1008,336,3948,224,2660,896,476
"1110002J07Rik",0,0,0,0,0,28,112,28,224,84,28,532,364,84,224,0,0,0
"1110002L01Rik",1960,700,0,924,644,868,532,1596,756,952,392,1652,392,1316,1288,28,168,196
"1110002N22Rik",1904,980,3528,6440,3164,2016,3612,2548,2100,2884,4676,6720,4508,4480,6552,1428,1176,2856
"1110003E01Rik",15568,29540,31556,53844,55944,48860,68460,108136,84952,82208,75012,106848,101136,110544,73836,30940,15652,29568
"1110004E09Rik",2772,4284,8064,9352,13496,8960,16156,21896,14504,25256,28476,33040,20524,40768,27860,13356,8820,12796
"1110004F10Rik",18676,17360,6776,30716,35476,24808,32564,40600,39396,60788,55776,61460,75376,91280,52472,19712,13160,21252
"1110005A03Rik",2520,8708,4228,5516,4284,3192,2632,2772,2744,5012,3920,924,4172,5992,2744,2128,1540,784
"1110006G14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110007C09Rik",0,1260,840,616,756,336,672,280,476,84,0,1148,532,56,56,28,28,112
"1110008E08Rik",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,56,0
"1110008F13Rik",1344,2128,280,4508,308,4676,2800,3108,1540,1904,1652,2968,2296,4116,2380,1316,588,448
"1110008J03Rik",0,1456,672,1456,448,392,1148,3304,784,1036,3276,1988,1092,5124,4340,504,84,840
"1110008L16Rik",3024,700,16352,3668,10052,18452,15792,5908,12348,7420,18424,12348,6692,13020,6636,5572,1400,3752
"1110008P14Rik",16632,12712,20328,8708,11844,10332,31528,21896,24668,17416,17332,18116,17696,21644,13188,5656,3360,4816
"1110012J17Rik",3752,2156,11480,252,308,672,2996,1260,4452,392,280,952,21868,31416,26656,2968,3836,3388
"1110012L19Rik",952,0,392,1960,1400,1764,812,2716,1540,2072,2100,2184,812,2296,4956,2660,756,2184
"1110014N23Rik",140,4396,1288,6412,2436,1344,5152,3528,2240,8736,6020,5880,6944,11788,2660,1036,1260,2072
"1110017D15Rik",0,280,0,196,196,0,56,168,0,672,868,280,28,0,0,0,0,28
"1110017F19Rik",0,0,0,672,392,0,28,0,0,0,28,0,504,840,56,0,0,56
"1110018G07Rik",24164,27692,23352,47628,37436,44800,77504,81788,69020,74424,93716,121660,196588,232232,171556,37464,19824,33656
"1110018J18Rik",7476,1540,2912,2996,3612,3836,2940,4592,1848,2884,2520,4564,5320,5740,6608,252,196,1092
"1110018N20Rik",28,1540,0,308,3332,448,756,140,252,756,1652,504,1008,1400,3024,448,168,196
"1110019D14Rik",0,28,336,448,588,252,616,896,2044,504,868,3220,896,2548,980,56,308,700
"1110020A21Rik",0,0,28,0,28,980,924,672,336,980,56,980,560,1092,0,0,0,28
"1110020G09Rik",868,2520,6076,7588,6608,10388,8204,7560,5180,7224,9100,12572,11480,11424,9772,1764,1820,1904
"1110021J02Rik",0,28,0,1708,560,1036,1512,896,112,1568,1652,2296,5180,2520,672,56,84,140
"1110021L09Rik",2968,2072,4424,19488,16996,29680,15596,15092,18144,22736,26040,25676,18144,15904,19180,8848,2464,3556
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028C15Rik",12096,16884,7336,22428,16352,17724,10556,15708,15260,12404,13832,15512,24668,21588,19488,2856,2240,2380
"1110028F11Rik",0,0,0,0,0,0,0,0,28,0,0,56,0,0,0,1092,168,0
"1110031I02Rik",0,56,0,28,168,560,364,308,616,3584,1484,2800,392,420,280,840,252,280
"1110032A03Rik",2212,2520,3836,16632,7756,18004,17780,16576,31388,27888,31080,34692,20104,22568,7560,3388,4816,4032
"1110032A04Rik",0,0,0,140,0,28,532,0,168,196,168,700,420,728,140,0,0,0
"1110032F04Rik",0,980,1624,56,28,364,2688,2352,2072,728,1484,5152,5152,7868,5432,2716,1204,1708
"1110034A24Rik",140,56,112,1372,1064,2044,2660,4144,2212,2128,2184,4760,1344,11732,1540,784,868,784
"1110034B05Rik",1316,784,2016,7896,6608,13860,7392,9716,19236,13944,20832,20048,13104,16660,8288,9016,4620,5264
"1110034G24Rik",0,140,0,420,140,1820,168,1036,1092,2688,1568,476,1624,3724,364,868,336,1008
"1110035H17Rik",0,0,112,84,0,0,420,0,0,0,28,56,56,0,56,0,0,28
"1110035M17Rik",0,392,420,0,140,0,1736,1708,588,756,952,2296,1344,476,140,0,364,560
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110037F02Rik",12936,7840,14364,25396,24864,42700,25424,34916,22400,49448,44856,53872,56196,68068,58352,18704,6636,14616
"1110038B12Rik",4452,4032,1176,7588,5096,4228,3780,2968,4200,3528,4396,6720,3444,3024,1960,3276,616,1260
"1110038D17Rik",28,280,336,1092,2296,1988,1708,5684,1344,2548,4116,4256,4704,2828,3472,1120,672,1092
"1110038F14Rik",1008,2772,7980,1988,2408,2940,1652,3920,2492,2212,3976,5012,5936,6104,5796,5656,1512,812
"1110046J04Rik",0,0,0,28,28,0,0,0,56,0,0,28,56,0,168,0,0,28
"1110049F12Rik",1120,4256,1316,6552,14812,4340,13552,15820,14728,16464,12768,33124,14392,18872,10248,3500,3136,6048
"1110050K14Rik",0,0,0,224,1344,0,56,0,0,84,140,504,0,364,0,0,0,0
"1110051M20Rik",3976,8008,13328,11732,10528,7448,17024,21924,22456,24052,26292,27888,15904,21504,17976,6104,4256,7028
"1110054M08Rik",1120,0,0,28,1400,56,140,112,0,448,140,812,168,504,0,56,28,0
"1110054O05Rik",1204,1596,6608,14952,10640,11788,16212,18088,12656,19096,14868,18424,19460,38864,18284,5824,3640,8064
"1110057K04Rik",8204,16212,3780,11928,13692,24164,21980,20244,18536,30352,35840,33656,33544,38472,31332,6916,4116,9688
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110058L19Rik",3416,4424,616,4060,3836,5460,6244,8792,8708,7588,6692,8736,7504,9240,5824,2968,896,2408
"1110059E24Rik",8540,11340,6272,10220,7868,12880,12040,18060,14756,15288,23156,15988,15344,23352,18704,1820,4480,5768
"1110059G10Rik",1456,1512,2380,5320,3444,8484,2632,2548,3276,5376,5992,6524,7364,10752,8456,2156,1288,1260
"1110059M19Rik",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
"1110065P20Rik",1036,1428,1148,224,728,392,448,644,336,980,700,1204,588,1092,588,252,140,392
"1110067D22Rik",22988,7448,4396,34944,31416,33264,29316,36400,32004,35952,39396,43624,39956,72660,42532,9716,8736,15540
"1190002H23Rik",196,0,0,56,112,168,0,56,0,0,28,84,196,140,28,0,112,28
"1190002N15Rik",1904,6048,11452,22736,16016,22960,1316,1316,0,2156,3584,19124,89572,89964,59024,7084,3220,5348
"1190003J15Rik",168,0,0,0,0,56,56,56,28,28,0,28,196,224,840,0,0,56
"1190005F20Rik",8260,6832,7084,9548,16800,16436,13468,16884,13608,18900,25172,18144,20076,20048,14084,5460,3360,8036
"1190005I06Rik",0,0,0,0,0,0,112,0,0,364,56,280,0,0,224,196,0,112
"1190007F08Rik",0,28,0,28,28,336,28,28,0,0,0,0,0,28,0,0,28,0
"1190007I07Rik",3248,1708,840,1232,2016,644,784,644,1512,3304,1568,2380,1820,2716,1764,1260,364,224
"1200007C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200009I06Rik",0,0,0,0,0,0,0,0,0,112,0,0,0,28,0,0,0,0
"1200011I18Rik",5852,6384,2828,18536,10164,13888,18172,13888,14616,23072,19012,31892,29260,30884,25984,4984,4256,8288
"1200011M11Rik",2548,5572,1036,7784,6496,9240,8372,11256,12684,21448,16912,25172,18592,22036,10640,6944,3220,4284
"1200014J11Rik",11844,756,6972,16044,10080,11984,8176,9100,10528,12012,18480,16688,15624,19180,8624,6832,4228,3948
"1200016B10Rik",7840,2240,2380,11872,8876,10080,6300,7224,8260,13468,7504,9576,9324,16828,5068,5992,2100,3024
"1300001I01Rik",15288,14140,11368,23100,20496,22232,31276,35140,24444,51632,54068,48832,44436,60844,30156,14084,10836,16072
"1300002E11Rik",1960,8036,1288,9856,8624,13384,13188,6076,14084,7252,7840,7000,19180,9324,6216,7924,3892,2828
"1300002K09Rik",0,0,0,0,0,0,0,0,0,224,28,28,0,0,0,0,0,0
"1300010F03Rik",18956,16072,8988,26264,15736,25592,11256,13328,12292,19768,11144,17808,17108,21420,20216,5544,4032,5488
"1300014I06Rik",3472,1736,4088,4984,3080,5292,84,0,0,308,56,420,0,0,28,28,28,0
"1300015D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300017J02Rik",0,0,0,28,700,112,0,1064,0,0,0,0,28,280,0,84,140,0
"1300018I17Rik",4676,1988,6636,9072,6468,7532,6356,10192,7364,7196,8372,11228,8428,12012,8428,3108,1904,3136
"1300018J18Rik",1568,168,1372,2016,3976,4620,1316,280,4564,1652,1428,728,1400,2968,2492,252,112,224
"1500001M20Rik",112,28,56,1764,1680,3780,2240,1316,1372,2016,3388,3108,2408,3276,2324,280,644,980
"1500002C15Rik",0,0,0,0,0,28,28,84,0,560,0,728,28,28,28,0,0,140
"1500002F19Rik",0,0,0,2520,308,252,84,84,0,28,28,0,0,0,0,0,0,0
"1500002O10Rik",0,84,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500002O20Rik",5460,952,2604,8064,4760,4424,4928,3220,5208,4900,5740,7196,7644,14420,5544,2016,1400,3416
"1500003O03Rik",11788,7812,13916,19292,21896,24052,48636,64932,51632,93800,89488,87892,70280,85316,59808,19964,18284,31192
"1500009C09Rik",6888,3192,4844,13300,16744,10976,15904,20468,18480,25200,28840,30464,14588,21056,9828,8008,2968,8540
"1500009L16Rik",420,924,700,1036,2548,5012,3388,5292,1652,6664,6104,9604,5376,6496,4536,4340,1848,2184
"1500010J02Rik",504,3920,336,9072,7448,8848,9100,12684,6132,9128,17080,13636,10528,13160,8876,1120,3892,3752
"1500011B03Rik",1652,5096,5824,10724,10472,7980,12404,15484,14336,15904,19544,18872,12880,20300,15848,4676,2912,7392
"1500011H22Rik",2268,8764,2464,7756,4116,7532,6300,8904,8036,8372,13888,8904,12460,9100,9072,2576,1568,3024
"1500011K16Rik",6412,5880,6804,14588,15876,11536,20384,28196,30016,20468,23520,24920,31304,30184,38276,5040,3668,7644
"1500012F01Rik",10752,3108,3416,10052,7224,5936,5572,6160,7000,7392,6832,7504,7784,7588,8988,2352,1148,1932
"1500012K07Rik",0,0,0,0,0,0,168,56,224,0,84,672,0,84,0,0,0,0
"1500015O10Rik",2828,28,28,756,112,0,140,392,168,0,56,28,0,280,0,0,28,0
"1500016L03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"1500017E21Rik",112,392,168,364,196,280,112,168,196,140,112,280,168,140,1008,28,28,56
"1500026H17Rik",0,56,28,2268,1260,1428,1008,280,1176,1568,2352,980,2884,2856,1904,140,252,308
"1500031L02Rik",3864,4452,6608,12432,7728,7112,19208,27412,30324,34608,29176,29876,28672,41804,27692,4536,4704,11480
"1500032L24Rik",2716,2800,1456,5012,5880,3948,6804,9632,9800,13832,18088,15848,13440,17724,14168,4760,4088,5404
"1500035N22Rik",56,0,224,728,504,560,28,252,476,112,28,84,224,392,0,28,28,84
"1520401A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1520402A15Rik",3332,364,4872,11228,10640,17276,3864,3892,2324,5152,3052,4816,4648,6552,2884,1540,896,1820
"1600002D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600002H07Rik",1876,224,336,1512,2016,2464,3080,3696,2632,4928,2408,2520,1820,2604,840,812,728,952
"1600002K03Rik",0,0,84,588,2548,784,980,476,140,1456,840,1092,2072,616,1008,588,476,56
"1600010F14Rik",0,0,0,0,0,0,56,0,28,0,224,0,0,0,0,0,0,0
"1600012F09Rik",10472,3276,2940,16996,12544,11284,13132,16184,16100,16604,12320,21784,19460,28728,21168,5796,4984,9044
"1600012H06Rik",5320,644,1064,11900,6832,13104,11816,11508,14112,7112,9408,13384,11172,15064,12852,3276,3332,3668
"1600012P17Rik",0,0,0,0,0,0,0,0,84,0,252,0,0,0,0,0,0,0
"1600014C10Rik",1736,896,2240,8764,16100,7756,13860,18984,19656,10276,14000,22428,12656,18592,8904,4312,2240,5880
"1600014K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600016N20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",448,1428,420,3388,2072,868,868,2156,4228,1960,2128,1652,4984,6104,1204,392,392,336
"1600021P15Rik",140,5712,616,5768,4732,3388,6272,6664,11480,5908,8568,14476,37772,31584,29848,1820,4032,5152
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027N09Rik",1120,2688,1624,4032,6804,4648,2912,4480,6160,4480,4620,5656,3500,2912,5908,1960,504,952
"1600029D21Rik",0,0,840,84,448,0,196,56,140,140,0,0,0,28,0,0,28,28
"1600029I14Rik",0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
"1600029O15Rik",3332,28,0,672,308,28,6440,12236,5880,4676,2324,8372,56,84,168,28,224,56
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",0,0,0,252,0,112,28,112,0,0,0,0,28,0,0,56,0,0
"1700001G17Rik",0,0,0,28,28,0,28,560,0,140,56,112,280,392,28,0,0,28
"1700001J04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J11Rik",0,28,0,112,112,28,112,112,0,112,112,140,0,28,196,0,84,0
"1700001K19Rik",5292,1064,1036,896,280,168,308,280,364,84,420,196,504,112,56,28,140,280
"1700001L05Rik",28,28,0,5124,2268,5040,1204,420,644,3332,2688,1904,2212,2632,1372,280,420,616
"1700001L19Rik",1680,1344,3696,1932,2184,5404,4228,4004,4508,10136,6468,15904,7196,10472,12376,6888,2884,6776
"1700001O22Rik",0,0,588,56,0,1064,924,0,812,392,56,168,2576,2352,1232,0,28,0
"1700001P01Rik",0,140,0,560,28,0,0,112,0,0,0,0,0,84,0,0,0,0
"1700003D09Rik",0,0,0,0,0,56,0,0,0,0,0,0,196,0,392,0,0,0
"1700003E16Rik",700,140,28,504,700,672,504,252,784,2156,896,1540,980,2632,1596,364,112,644
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",196,280,0,0,952,0,0,0,0,364,0,56,0,0,0,0,0,0
"1700003F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,84,0,0,0,0,0,0,0,28,28,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M02Rik",0,0,0,0,0,0,28,0,0,868,1232,224,28,0,140,0,140,84
"1700003M07Rik",1876,56,112,868,6104,1260,784,952,84,1092,868,1288,5152,3276,1008,1344,308,1232
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006D18Rik",308,84,0,840,28,112,56,280,0,56,0,0,644,280,28,0,56,0
"1700006E09Rik",0,56,0,252,28,0,28,0,0,0,28,56,0,0,336,0,0,0
"1700006J14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006P19Rik",112,1288,0,1260,784,1960,1288,2212,2100,2576,1288,756,2184,1820,1988,1204,280,504
"1700007B14Rik",0,560,0,252,0,224,308,784,0,392,784,168,840,364,0,0,0,0
"1700007G11Rik",0,224,0,0,84,28,28,840,196,448,0,168,0,28,0,0,0,0
"1700007I08Rik",0,168,252,0,0,0,0,28,0,28,0,0,0,0,0,0,0,196
"1700007J10Rik",2016,56,1512,1652,448,2100,112,84,56,588,1148,140,840,504,196,784,0,56
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
"1700007K13Rik",0,0,0,0,56,252,252,0,0,364,28,392,0,0,0,0,28,84
"1700007L15Rik",0,0,1708,0,28,28,56,140,0,0,84,56,0,0,252,0,0,28
"1700007M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007P06Rik",0,0,0,0,0,0,84,28,84,336,0,224,28,84,28,0,28,0
"1700008A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008F21Rik",28,0,0,784,280,28,196,392,224,252,532,252,784,168,224,196,28,28
"1700008I05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",2016,336,476,1652,1736,2380,2212,1344,1176,2296,2408,1540,5292,1736,4592,1008,448,1008
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008P20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009P17Rik",0,560,0,0,0,0,168,28,0,308,224,280,0,0,140,0,28,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,0,0,0,140,336,476,28,168,0,140,868,1176,56,56,252,0
"1700010K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",56,0,28,28,0,168,28,112,252,0,0,0,56,308,84,28,0,0
"1700010K24Rik",0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"1700010L04Rik",0,0,0,0,56,28,0,0,0,56,0,0,0,0,0,0,28,196
"1700010M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0,0,0,0,56,0,0,0,56,0,0,0,0
"1700011F03Rik",0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011F14Rik",0,0,0,56,84,1624,0,0,0,168,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,168,0,0,28,0,28,0,0,28,0,28,0,56,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011J10Rik",700,336,2744,392,336,2100,952,560,196,1344,1288,1288,1400,252,280,532,224,588
"1700011L22Rik",0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A16Rik",84,224,84,3304,3640,1596,1372,168,56,672,28,1316,2016,1008,448,0,56,224
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"1700012B15Rik",112,364,0,2856,2800,1008,1176,2576,532,2464,644,2436,2156,1316,196,1316,924,840
"1700012C08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012C14Rik",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,672,420,0,784,476,84,0,84,112,196,700,588,1036,1344,224,280,112
"1700013G23Rik",0,0,0,0,3248,700,280,0,0,0,392,308,2324,56,0,0,0,56
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013N18Rik",84,0,140,84,0,364,0,224,448,0,0,140,168,0,0,0,56,0
"1700014D04Rik",0,112,168,0,0,0,0,0,0,0,1008,0,0,0,0,28,0,0
"1700014N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,140,2464,112,308,28,0,0,0,28,168,0,0,0,0,0
"1700015F17Rik",84,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"1700015O11Rik",0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,28
"1700016C15Rik",0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016G14Rik",0,0,0,140,0,56,0,0,0,0,0,0,0,0,0,0,0,56
"1700016H13Rik",0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",1036,0,224,0,0,0,448,28,0,112,84,532,616,364,392,504,728,448
"1700016M24Rik",28,0,0,0,0,0,0,84,0,0,0,0,28,0,0,0,0,0
"1700016P03Rik",84,1652,0,980,0,168,336,196,84,280,56,112,224,364,280,0,28,56
"1700017B05Rik",1456,1652,588,5376,9268,5180,9996,9912,4200,20384,15512,12236,3780,1988,924,112,280,448
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
"1700017G19Rik",0,0,0,140,56,28,28,0,0,0,0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A14Rik",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
