"","143B-CA1-1","143B-DG-1","144B-CA1-1","144B-CA3-1","145B-CA1-1","145B-DG-1","146B-CA1-2","146B-CA3-2","146B-DG-2","147-CA1-4","147-CA3-4","147-DG-4","148-CA1-2","148-CA3-2","148-DG-2","148B-CA1-4","148B-CA3-4","148B-DG-4"
"1700011E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",3,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",3,19,9,1,4,6,0,2,0,0,7,0,5,0,25,0,9,2
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",14,13,32,14,27,16,28,99,1,9,43,0,9,87,45,13,162,22
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700019D03Rik",7,32,2,3,7,14,12,25,0,0,0,0,7,6,21,0,23,1
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,3,0,0,0,12,0,15,0,0,0,0,0,10,5,0,10,1
"1700020L24Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",15,19,32,12,9,12,5,33,0,0,5,1,19,30,25,1,37,23
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700022I11Rik",6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"1700023F06Rik",21,2,3,1,10,0,0,0,0,0,0,0,0,1,0,3,24,7
"1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",90,158,76,55,103,168,55,162,10,5,11,19,98,178,305,4,220,55
"1700027J19Rik",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1700028J19Rik",0,0,10,6,0,2,4,2,0,13,0,0,0,18,0,0,9,0
"1700028K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700029F12Rik",0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1700029H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029I15Rik",2,10,11,3,7,7,3,6,0,0,0,2,9,0,8,0,17,2
"1700029J07Rik",12,6,0,10,7,15,0,6,0,0,0,0,31,6,0,0,4,1
"1700029P11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030J22Rik",4,3,2,0,20,3,15,12,0,7,0,0,0,15,12,0,28,4
"1700030K09Rik",24,47,19,12,24,47,8,16,8,0,0,0,24,26,63,1,37,10
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034I23Rik",0,3,9,1,7,4,0,0,0,0,0,0,0,0,4,0,0,0
"1700034J05Rik",4,0,6,0,0,4,0,0,0,0,0,0,0,0,5,0,2,0
"1700034O15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",2,5,0,1,10,7,2,7,0,0,0,0,0,5,12,0,25,1
"1700037H04Rik",55,32,116,22,21,13,21,38,0,7,33,0,38,38,39,2,50,24
"1700040F15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",2,0,0,5,0,2,1,1,0,0,7,0,0,20,0,0,14,0
"1700042G07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047I17Rik2",11,16,31,17,0,0,30,19,1,3,0,1,3,8,58,0,30,14
"1700048O20Rik",0,15,7,8,8,4,1,1,0,0,0,0,26,18,44,0,27,1
"1700049E17Rik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700057G04Rik",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061G19Rik",1,4,0,0,21,2,0,0,0,0,0,0,0,0,0,0,5,10
"1700064H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"1700066B19Rik",0,0,0,0,6,6,0,0,0,0,0,0,6,0,14,0,3,9
"1700066M21Rik",53,37,64,22,65,44,33,70,1,7,2,0,46,21,12,12,60,13
"1700067K01Rik",0,7,0,0,11,0,0,0,0,0,0,0,0,2,0,0,1,0
"1700067P10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700074P13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700080E11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700080O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700084M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700086D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700088E04Rik",20,0,3,8,0,12,3,0,0,0,0,0,9,0,11,0,22,0
"1700092M07Rik",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700093K21Rik",0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
"1700102P08Rik",0,3,0,13,0,3,4,4,0,0,0,0,0,5,0,0,6,1
"1700109H08Rik",0,1,9,0,0,0,0,0,0,0,0,0,0,3,9,0,1,0
"1700112E06Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700113H08Rik",0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123L14Rik",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"1700123O20Rik",39,34,32,9,6,11,8,40,0,0,12,0,0,50,10,2,58,5
"1700125H20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700128F08Rik",10,36,28,8,13,51,15,15,1,0,7,8,10,27,57,12,42,17
"1700129C05Rik",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"1810009A15Rik",11,31,11,20,16,1,7,18,0,3,0,0,6,17,19,0,13,2
"1810009J06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810010H24Rik",9,32,0,5,0,13,3,3,0,0,0,0,40,7,24,0,0,1
"1810011H11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810011O10Rik",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810013L24Rik",58,80,113,61,99,64,80,106,15,3,21,2,73,120,129,9,143,54
"1810022K09Rik",27,35,45,3,14,11,6,38,0,0,9,0,22,12,19,12,44,6
"1810024B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"1810026J23Rik",91,258,147,106,97,164,59,146,3,15,55,24,109,192,280,27,249,67
"1810030O07Rik",29,103,48,7,63,75,25,62,0,0,77,2,96,89,108,2,65,25
"1810032O08Rik",5,24,0,0,0,10,4,0,0,0,0,0,0,8,26,6,15,2
"1810037I17Rik",24,46,37,18,8,15,32,67,0,0,4,1,13,83,27,0,66,27
"1810041L15Rik",10,228,39,37,29,284,16,125,1,6,1,37,50,83,296,0,130,46
"1810043G02Rik",42,56,97,54,45,33,11,90,4,0,11,3,54,122,53,5,97,20
"1810043H04Rik",22,25,16,10,4,4,4,17,0,6,0,0,23,26,7,8,37,4
"1810046K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810049J17Rik",0,5,23,0,0,3,4,8,1,0,1,0,11,11,0,0,32,0
"1810055G02Rik",32,25,61,18,20,17,22,22,0,0,3,0,39,42,20,3,84,23
"1810062G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810065E05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010003K11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010005H15Rik",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010106E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010107E04Rik",94,78,119,32,47,26,26,122,0,1,37,0,62,81,59,20,180,56
"2010107G23Rik",10,55,36,24,15,15,8,66,0,10,12,0,1,59,23,0,72,12
"2010109A12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2010109I03Rik",5,13,11,0,1,14,2,4,1,0,0,0,8,1,12,0,12,0
"2010111I01Rik",33,63,95,46,44,34,25,115,11,8,48,1,92,99,26,13,181,21
"2010300C02Rik",1547,2355,2759,170,2187,1982,1114,532,85,98,221,263,1610,557,2406,167,782,895
"2010315B03Rik",28,9,24,6,58,12,15,16,1,0,0,1,19,31,3,22,22,6
"2200002D01Rik",4,0,6,0,0,0,0,2,0,0,0,0,0,0,17,0,2,0
"2200002J24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210010C04Rik",2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"2210011C24Rik",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
"2210013O21Rik",8,34,31,7,5,22,4,10,2,0,0,0,5,41,39,0,30,14
"2210016F16Rik",36,15,67,5,35,19,7,33,0,15,0,0,6,29,28,0,27,25
"2210016L21Rik",170,190,242,98,119,127,68,202,5,2,124,4,91,268,367,9,301,76
"2210017I01Rik",3,0,1,4,0,0,1,8,0,0,1,0,1,0,9,5,4,0
"2210407C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"2210408I21Rik",23,0,10,15,5,12,11,28,0,0,0,0,9,13,17,6,33,3
"2210418O10Rik",19,13,31,8,11,16,19,34,0,0,9,0,18,34,22,0,26,14
"2300002M23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300003K06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300009A05Rik",5,19,19,3,7,2,6,20,0,0,5,0,0,5,51,0,14,10
"2310002L09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310003L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310007B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310009B15Rik",13,17,25,0,43,9,4,25,0,0,19,0,0,2,34,0,26,8
"2310011J03Rik",26,28,74,31,38,32,11,31,2,19,18,1,60,29,55,0,76,17
"2310022A10Rik",36,39,61,22,71,30,20,85,0,7,22,18,0,61,19,7,55,23
"2310022B05Rik",59,145,123,49,131,30,27,76,1,8,2,0,35,133,53,0,127,45
"2310030G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
"2310033P09Rik",35,43,60,8,41,29,13,34,0,0,5,0,2,34,48,0,42,7
"2310034C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310035C23Rik",82,156,189,78,160,156,76,196,12,22,37,22,167,235,175,35,239,73
"2310036O22Rik",73,94,98,35,86,64,23,128,1,0,28,8,101,123,117,1,141,35
"2310039H08Rik",9,1,0,5,0,4,0,0,0,0,0,0,0,9,8,0,9,2
"2310046K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310050C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310057J18Rik",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7
"2310057M21Rik",12,50,50,28,49,27,10,44,0,0,20,1,14,88,56,20,54,22
"2310057N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310061I04Rik",82,114,125,17,77,67,38,86,4,0,14,0,115,119,208,11,179,30
"2310061N02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310079G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410002F23Rik",105,136,158,61,149,108,55,83,12,13,10,1,132,144,162,20,224,63
"2410004B18Rik",18,26,84,17,18,33,21,52,5,0,27,16,24,38,42,4,64,12
"2410004P03Rik",4,5,13,6,14,17,2,2,0,0,0,0,3,9,0,0,10,3
"2410015M20Rik",46,53,75,16,32,12,14,61,2,0,0,0,105,49,59,0,65,5
"2410016O06Rik",20,46,44,17,25,13,7,10,0,0,14,0,8,25,75,10,41,15
"2410089E03Rik",105,235,250,87,168,212,175,186,18,2,42,5,172,189,323,23,226,107
"2410131K14Rik",33,47,108,27,83,63,43,58,0,0,24,0,66,85,90,0,97,10
"2410137M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410141K09Rik",1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,1
"2510002D24Rik",18,41,46,7,29,24,7,20,2,0,14,0,31,25,14,0,26,19
"2510009E07Rik",111,71,147,46,93,47,51,87,3,0,42,0,71,54,127,9,108,40
"2510039O18Rik",54,38,95,17,68,39,12,56,3,17,37,0,33,72,55,2,162,30
"2610001J05Rik",27,41,36,24,22,1,7,29,5,0,2,0,17,8,40,4,32,4
"2610002M06Rik",69,65,90,53,52,34,58,108,2,0,24,1,63,193,136,43,175,18
"2610008E11Rik",17,78,65,12,44,41,8,45,0,14,0,1,36,41,71,26,74,31
"2610020H08Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"2610021A01Rik",33,51,55,11,22,31,18,25,2,2,10,0,40,30,85,7,41,12
"2610028H24Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2610042L04Rik",0,7,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"2610044O15Rik8",45,77,45,23,59,36,31,47,11,14,0,8,49,57,130,8,61,19
"2610301B20Rik",46,101,88,22,108,90,23,102,1,0,3,0,43,83,51,8,158,32
"2610318N02Rik",0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
"2610507B11Rik",563,608,1002,219,672,653,349,791,27,24,183,3,599,848,972,60,1043,254
"2610524H06Rik",6,37,17,20,5,13,14,54,8,0,0,0,20,27,6,0,30,2
"2610528A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"2610528J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2700049A03Rik",26,16,36,23,7,41,17,19,2,1,0,1,59,49,32,6,25,11
"2700060E02Rik",83,98,86,34,85,36,31,99,3,8,13,1,99,98,153,11,124,41
"2700062C07Rik",9,28,23,7,13,17,11,57,2,0,13,0,0,12,13,4,31,29
"2700081O15Rik",257,250,238,100,253,214,134,103,2,52,24,30,297,138,282,17,193,50
"2700094K13Rik",10,16,13,11,7,0,4,6,0,0,0,0,5,21,9,0,18,9
"2700097O09Rik",4,22,15,8,7,7,8,21,4,0,0,1,9,0,13,0,11,5
"2810004N23Rik",20,22,50,18,32,6,14,17,13,0,17,0,0,13,18,2,21,2
"2810006K23Rik",16,15,25,22,18,27,6,23,0,0,11,1,29,47,65,6,45,4
"2810021J22Rik",12,30,5,7,18,9,22,10,0,0,0,1,5,12,11,0,33,1
"2810403A07Rik",102,129,170,63,56,74,50,100,2,5,0,1,91,109,199,11,150,36
"2810408A11Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2810417H13Rik",0,0,1,0,11,1,3,7,0,0,0,0,0,0,5,0,1,0
"2810428I15Rik",26,49,82,13,43,15,16,63,0,6,30,0,23,28,27,10,102,19
"2810459M11Rik",34,25,21,6,44,7,1,12,1,0,1,0,27,21,18,0,12,7
"2810474O19Rik",16,37,49,15,45,25,23,12,2,22,1,1,25,27,30,7,58,7
"2900011O08Rik",306,395,428,180,378,162,192,405,34,13,148,0,357,620,525,64,727,179
"2900026A02Rik",276,191,395,197,380,142,363,415,12,27,86,4,398,516,85,58,702,104
"2900055J20Rik",18,51,37,8,21,20,13,19,0,0,7,0,20,7,85,0,29,7
"2900092C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3010026O09Rik",9,10,0,8,8,6,0,7,0,0,15,0,0,2,0,0,18,4
"3100002H09Rik",5,0,11,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0
"3110001I22Rik",0,15,3,0,5,17,7,0,0,0,0,0,1,0,8,0,2,0
"3110002H16Rik",22,59,61,30,50,36,29,97,1,4,10,1,26,95,84,14,139,24
"3110009E18Rik",0,0,4,6,4,1,1,0,0,0,0,0,20,3,6,0,7,1
"3110018I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"3110021N24Rik",0,0,0,3,15,1,7,0,0,0,0,0,0,4,9,0,0,1
"3110035E14Rik",626,112,998,36,648,54,456,540,5,107,84,4,724,599,84,103,673,116
"3110040N11Rik",5,15,3,0,7,7,3,12,0,0,0,0,0,38,17,0,17,1
"3110043O21Rik",41,88,9,31,36,67,4,23,16,0,1,0,30,35,41,0,42,17
"3110062M04Rik",13,28,10,0,7,0,7,16,0,0,0,0,11,18,2,13,14,5
"3110070M22Rik",9,0,7,1,0,0,0,17,0,0,7,0,2,0,12,6,14,1
"3110079O15Rik",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"3110082I17Rik",27,12,16,18,5,9,5,9,0,0,0,14,1,19,17,0,39,9
"3110082J24Rik",0,4,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1
