"","142C_CA1","142C_DG","143C_CA1","143C_DG","143C-CA1-1","143D-CA1-3","143D-DG-3","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1"
"0610007P14Rik",60,44,41,16,19,14,22,32,14,25,22,75,19,11,6,44,3,34,82,41,40,152
"0610009B22Rik",31,14,22,10,10,0,0,8,12,8,6,12,4,3,2,12,0,8,15,20,20,52
"0610009L18Rik",0,0,6,0,2,0,2,2,4,6,9,13,9,0,0,7,0,2,11,3,9,67
"0610009O20Rik",128,112,170,109,76,25,38,89,48,85,46,151,31,10,1,83,3,58,191,145,88,377
"0610010F05Rik",14,16,43,16,7,5,8,12,7,12,14,18,5,4,1,18,0,19,41,23,28,56
"0610010K14Rik",2,1,6,3,2,2,1,3,1,2,2,6,1,0,1,1,0,4,3,2,0,16
"0610012G03Rik",214,60,195,46,83,20,36,87,53,48,107,147,42,17,15,123,3,108,167,106,168,359
"0610030E20Rik",127,122,93,79,28,20,30,38,6,48,36,174,19,24,13,84,0,77,182,110,41,334
"0610037L13Rik",16,25,15,20,7,4,8,10,4,9,6,29,5,2,1,10,2,9,16,22,14,71
"0610040J01Rik",1,0,2,5,2,0,2,4,0,2,1,1,2,0,0,0,0,2,3,4,4,2
"1110002E22Rik",0,102,2,42,2,1,18,4,2,40,0,52,11,0,0,0,0,7,6,122,0,173
"1110004E09Rik",14,16,28,15,16,8,3,11,9,9,10,20,4,0,1,9,0,17,12,18,5,48
"1110004F10Rik",62,26,84,31,25,12,16,41,20,27,29,63,17,4,10,27,2,39,65,53,44,127
"1110008F13Rik",119,42,196,160,97,48,58,101,67,96,99,147,30,18,22,56,0,90,173,180,184,565
"1110008L16Rik",6,1,5,0,3,3,1,6,1,1,2,5,1,1,0,2,0,4,5,3,3,7
"1110008P14Rik",94,23,91,57,49,31,24,74,70,41,93,122,16,5,12,52,0,50,161,81,232,285
"1110012L19Rik",32,8,14,9,10,0,3,28,3,12,6,29,0,3,0,5,0,9,6,25,14,73
"1110017D15Rik",0,0,1,0,0,1,0,4,0,1,1,2,0,0,0,0,0,3,3,3,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",4,5,23,7,9,7,3,9,7,3,5,18,2,0,0,9,1,17,19,7,9,16
"1110032F04Rik",97,9,106,18,22,2,0,20,10,11,18,31,2,0,0,16,0,39,30,14,45,99
"1110034G24Rik",4,3,17,13,2,7,3,5,1,4,1,8,7,0,0,2,0,8,22,9,5,24
"1110037F02Rik",108,102,139,45,38,37,31,42,9,51,32,98,35,7,5,25,5,42,62,99,52,219
"1110038F14Rik",73,51,64,84,53,7,14,29,22,39,38,89,16,6,4,20,7,37,71,73,79,282
"1110051M20Rik",130,96,143,53,58,21,21,69,31,53,67,99,27,17,6,80,0,61,138,89,131,276
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",10,5,10,5,5,2,2,6,4,4,7,13,1,0,1,5,0,4,10,11,14,28
"1110059G10Rik",38,8,42,16,10,6,6,16,2,5,15,22,16,0,1,2,0,18,17,11,21,35
"1110065P20Rik",29,11,34,14,12,6,4,31,13,7,24,21,5,2,6,15,2,19,24,18,30,30
"1190002N15Rik",352,502,599,204,236,77,54,161,16,341,34,140,132,51,11,16,0,243,81,400,33,332
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,5,0,1,0,0,1,2,0,4,2,0,1,0,0,0,4,1,2,5,9
"1190007I07Rik",10,1,7,2,3,1,1,4,0,4,3,6,1,0,0,1,0,5,4,6,4,18
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
"1500009C09Rik",52,48,112,66,52,30,26,76,43,42,71,118,18,12,0,70,1,54,212,56,114,321
"1500009L16Rik",29,29,20,11,3,4,5,37,18,7,51,31,0,4,0,55,0,19,45,7,5,102
"1500011B03Rik",137,83,149,100,64,12,30,110,42,61,69,116,26,10,16,51,10,96,142,129,139,340
"1500011K16Rik",66,7,75,82,27,42,12,40,13,21,24,78,17,3,8,33,5,47,86,39,109,184
"1500015O10Rik",7,0,0,0,0,0,0,0,0,4,0,2,7,0,0,0,0,0,0,7,0,0
