"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,0,2,0,0,1,3,6,0,0,0,0,0,0
"1700015E13Rik",0,4,0,0,4,0,7,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,1,0,0,0,2,0,0,0,0,0,0,0,0
"1700016D06Rik",11,24,2,10,4,0,19,12,0,0,4,0,0,6
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",55,96,20,29,39,21,108,126,4,3,86,32,0,9
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,2,0,0,5,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,0,3,1,0,0,0,0,0,0,0
"1700019D03Rik",21,39,14,15,15,1,24,31,1,1,19,14,0,16
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1700020A23Rik",0,0,1,0,0,2,0,0,0,0,0,0,0,0
"1700020D05Rik",4,2,3,13,3,10,19,1,0,0,3,0,0,0
"1700020L24Rik",3,0,1,2,4,0,18,3,0,0,3,1,0,0
"1700020N01Rik",0,0,0,0,0,0,5,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",24,62,19,28,28,17,61,59,1,0,25,9,1,0
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,2,3,0,0,0,5,0,0,0,0,0,0,0
"1700023F06Rik",1,3,3,4,18,10,4,3,0,0,10,4,1,0
"1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",0,12,8,9,39,0,0,12,0,0,20,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",150,449,131,161,157,75,636,211,5,14,134,66,9,98
"1700027J19Rik",0,8,1,1,0,1,0,6,0,0,2,0,0,0
"1700028J19Rik",0,19,1,4,5,2,19,8,5,0,0,2,0,0
"1700028K03Rik",0,0,1,5,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",0,0,0,2,0,2,0,7,0,0,0,1,0,0
"1700029F12Rik",1,6,2,0,0,0,0,0,0,0,0,3,0,0
"1700029H14Rik",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1700029I15Rik",0,14,12,11,13,7,27,17,2,0,7,1,0,9
"1700029J07Rik",4,22,8,10,8,11,28,4,0,0,7,0,0,0
"1700029P11Rik",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1700030J22Rik",15,38,19,37,17,3,7,23,0,0,18,2,0,0
"1700030K09Rik",37,53,15,23,25,23,113,52,6,1,39,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034I23Rik",3,7,3,0,1,0,0,9,0,0,0,0,0,0
"1700034J05Rik",0,4,0,0,0,0,4,4,0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",3,10,6,7,15,1,41,7,0,0,8,2,0,1
"1700037H04Rik",36,217,59,55,55,34,54,132,2,0,72,21,1,0
"1700040F15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",0,0,0,0,3,0,7,0,0,0,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047I17Rik2",41,72,30,23,28,22,68,51,3,0,46,51,0,5
"1700048O20Rik",9,25,8,10,20,4,55,23,0,0,14,11,0,5
"1700049E17Rik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1700057G04Rik",0,0,1,0,0,0,5,0,0,0,0,9,0,0
"1700061G19Rik",0,4,0,5,0,0,9,1,0,0,0,0,0,0
"1700064H15Rik",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1700066B19Rik",0,8,0,5,3,2,4,0,0,0,1,0,0,0
"1700066M21Rik",62,139,65,48,61,14,100,129,0,10,62,24,1,18
"1700067K01Rik",0,10,1,0,6,5,2,2,0,0,0,0,0,0
"1700067P10Rik",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700074P13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700080E11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700080O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700084M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700086D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700088E04Rik",7,7,5,10,7,4,34,24,0,0,8,2,0,0
"1700092M07Rik",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"1700093K21Rik",2,5,0,0,0,0,8,2,0,0,0,0,0,8
"1700102P08Rik",0,0,1,1,0,0,9,0,0,0,0,0,0,0
"1700109H08Rik",3,4,1,7,2,0,12,0,0,3,2,0,0,0
"1700112E06Rik",0,1,1,3,0,0,0,9,0,0,0,0,0,0
"1700113H08Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123L14Rik",0,4,1,1,0,0,0,2,0,0,0,1,0,0
"1700123O20Rik",10,75,30,16,25,10,68,39,0,0,23,27,0,0
"1700125H20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700128F08Rik",11,53,32,32,22,10,79,41,0,0,32,4,0,12
"1700129C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810009A15Rik",1,50,12,7,14,8,40,46,0,0,7,6,0,2
"1810009J06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810010H24Rik",5,28,7,0,2,9,86,16,0,0,0,15,0,9
"1810011H11Rik",0,1,1,0,2,4,0,21,0,0,7,8,0,0
"1810011O10Rik",0,0,4,4,7,4,0,2,0,0,0,0,0,0
"1810013L24Rik",129,346,114,92,72,52,221,182,4,6,89,57,0,32
"1810022K09Rik",16,110,26,26,51,13,90,34,1,2,32,19,0,11
"1810024B03Rik",0,0,4,0,0,0,3,3,0,0,0,5,0,0
"1810026J23Rik",134,436,128,130,96,93,577,203,4,15,146,55,3,12
"1810030O07Rik",48,106,57,32,109,21,208,99,0,10,59,24,0,14
"1810032O08Rik",2,17,4,15,12,17,31,16,0,0,6,1,0,19
"1810037I17Rik",32,107,35,40,61,39,124,129,3,8,42,18,1,0
"1810041L15Rik",37,162,35,51,94,112,617,132,3,2,157,84,2,60
"1810043G02Rik",84,195,49,42,70,43,217,147,0,5,61,17,2,20
"1810043H04Rik",9,51,8,6,30,15,75,66,0,2,16,12,0,0
"1810046K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810049J17Rik",23,38,13,19,9,2,8,34,1,0,0,8,0,4
"1810055G02Rik",34,114,36,44,50,41,112,59,5,0,40,8,0,8
"1810062G17Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1810065E05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010003K11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010005H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010106E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010107E04Rik",71,281,59,49,149,88,290,336,8,2,133,51,3,12
"2010107G23Rik",25,91,28,35,51,29,126,77,1,4,53,7,2,22
"2010109A12Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2010109I03Rik",2,9,0,5,0,0,24,11,0,0,5,6,0,0
"2010111I01Rik",81,129,44,32,73,63,210,67,7,11,61,38,2,16
"2010300C02Rik",2298,5726,2552,1021,1281,440,6735,3393,74,21,942,139,20,481
"2010315B03Rik",21,63,14,16,16,17,76,52,3,0,27,10,0,0
"2200002D01Rik",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"2200002J24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210010C04Rik",0,4,4,2,3,0,0,0,0,0,0,0,0,0
"2210011C24Rik",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"2210013O21Rik",22,72,28,29,41,21,82,34,0,0,22,9,0,19
"2210016F16Rik",33,100,41,24,35,21,89,65,0,2,16,18,0,19
"2210016L21Rik",137,640,201,143,292,157,592,427,15,9,208,68,2,53
"2210017I01Rik",0,8,1,3,0,2,6,4,0,1,0,3,0,0
"2210407C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210408I21Rik",12,55,17,18,26,6,18,22,0,0,19,12,0,3
"2210418O10Rik",56,52,19,29,18,14,51,45,3,6,31,3,0,36
"2300002M23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300003K06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300009A05Rik",8,36,10,10,18,12,77,23,1,0,7,3,9,0
"2310002L09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310003L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310007B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310009B15Rik",24,50,20,21,27,14,79,28,0,3,13,13,1,14
"2310011J03Rik",28,118,42,22,65,36,184,108,1,1,50,44,0,7
"2310022A10Rik",31,146,39,49,51,20,121,114,2,4,43,14,1,13
"2310022B05Rik",63,179,38,141,117,138,236,229,2,19,135,108,3,21
"2310030G06Rik",2,3,2,1,6,0,6,5,0,0,2,0,0,0
"2310033P09Rik",44,96,44,28,67,36,58,66,2,3,37,23,0,4
"2310034C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310035C23Rik",202,512,182,160,148,62,397,201,9,15,145,53,3,48
"2310036O22Rik",84,378,67,80,120,76,337,176,12,32,134,35,4,34
"2310039H08Rik",0,12,6,1,9,4,30,11,0,0,12,5,0,0
"2310046K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310050C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310057J18Rik",0,2,2,1,0,0,0,0,0,0,0,1,0,0
"2310057M21Rik",41,105,45,44,57,35,135,69,0,7,35,22,4,16
"2310057N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310061I04Rik",44,207,89,62,142,70,245,175,9,5,98,35,0,14
"2310061N02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310079G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410002F23Rik",123,358,108,100,117,71,395,214,5,30,138,47,2,23
"2410004B18Rik",34,113,45,31,41,20,109,72,1,1,24,19,2,9
"2410004P03Rik",7,23,2,14,6,8,34,13,0,0,0,5,0,8
"2410015M20Rik",25,165,31,32,77,63,136,187,1,1,31,28,5,11
"2410016O06Rik",33,74,35,20,44,8,87,34,6,6,61,9,0,0
"2410089E03Rik",247,709,227,241,199,88,793,339,6,16,198,120,2,55
"2410131K14Rik",42,168,47,71,73,43,148,142,0,27,78,30,0,12
"2410137M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410141K09Rik",0,12,0,2,3,0,18,0,0,0,11,0,0,0
"2510002D24Rik",17,88,33,29,27,25,141,53,0,0,47,11,2,2
"2510009E07Rik",152,268,171,121,126,62,245,238,2,14,107,68,5,47
"2510039O18Rik",65,195,61,56,61,52,235,88,5,13,68,47,1,23
"2610001J05Rik",14,64,25,26,15,19,62,88,4,1,30,15,0,2
"2610002M06Rik",142,289,115,107,110,55,209,143,0,14,107,43,1,18
"2610008E11Rik",42,145,42,30,46,28,198,68,6,1,61,24,0,4
"2610020H08Rik",7,8,0,1,0,1,0,0,0,0,0,4,0,2
"2610021A01Rik",30,111,45,39,13,31,94,93,4,3,38,17,0,0
"2610028H24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610042L04Rik",0,0,0,0,0,0,18,0,0,0,0,0,0,0
"2610044O15Rik8",64,223,95,97,67,45,234,137,4,8,51,18,3,4
"2610301B20Rik",64,195,82,46,104,28,234,87,2,6,43,41,1,20
"2610318N02Rik",0,9,0,0,0,3,0,1,0,0,6,0,0,0
"2610507B11Rik",860,2070,784,714,789,376,1909,1616,42,75,643,419,5,188
"2610524H06Rik",25,47,22,31,35,37,107,65,1,0,16,8,3,3
"2610528A11Rik",0,2,0,0,0,0,0,0,1,0,5,0,0,0
"2610528J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2700049A03Rik",16,74,27,34,32,1,111,43,0,0,11,33,0,13
"2700060E02Rik",70,372,121,85,122,67,342,222,4,15,100,44,1,10
"2700062C07Rik",16,57,17,13,19,9,78,23,0,0,14,0,0,0
"2700081O15Rik",255,572,203,213,186,100,533,502,18,26,272,99,0,57
"2700094K13Rik",17,67,9,10,5,9,40,26,2,7,26,8,0,0
"2700097O09Rik",17,24,8,11,13,3,26,16,1,2,5,5,0,0
"2810004N23Rik",25,79,21,20,34,12,77,49,4,7,30,8,0,0
"2810006K23Rik",27,81,10,11,23,23,63,18,0,6,18,2,0,2
"2810021J22Rik",48,28,17,20,17,10,48,35,1,11,9,9,0,0
"2810403A07Rik",87,362,91,114,75,78,388,170,3,12,68,31,1,43
"2810408A11Rik",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2810417H13Rik",0,0,1,2,3,2,21,7,0,0,2,0,0,0
"2810428I15Rik",45,154,51,43,138,43,171,155,10,8,57,15,0,25
"2810459M11Rik",49,40,27,19,21,10,48,67,2,1,29,34,0,5
"2810474O19Rik",19,93,14,40,31,20,60,51,5,1,38,12,0,0
"2900011O08Rik",352,1347,364,290,560,259,1185,619,8,60,376,148,6,99
"2900026A02Rik",412,962,428,224,337,159,278,477,12,24,186,212,2,61
"2900055J20Rik",18,107,40,27,20,17,117,49,0,4,58,13,2,11
"2900092C05Rik",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"3010026O09Rik",7,26,12,7,28,4,63,40,0,8,18,0,11,3
"3100002H09Rik",7,20,4,0,1,0,0,0,1,0,16,0,0,0
"3110001I22Rik",0,5,2,3,1,0,43,4,0,1,1,0,0,0
"3110002H16Rik",55,123,74,33,75,40,155,140,5,14,88,16,0,10
"3110009E18Rik",0,2,0,1,3,0,11,7,0,0,11,0,0,0
"3110018I06Rik",4,3,1,0,5,2,0,0,0,0,0,0,0,0
"3110021N24Rik",0,14,0,2,4,0,15,20,0,3,0,4,0,0
"3110035E14Rik",942,3418,965,855,698,128,280,1801,42,34,702,85,11,20
"3110040N11Rik",7,61,5,13,25,11,62,23,4,11,18,13,0,9
"3110043O21Rik",21,80,40,39,47,28,141,88,3,0,39,28,0,41
"3110062M04Rik",12,31,7,11,16,10,38,12,0,7,43,0,0,8
"3110070M22Rik",5,13,3,3,2,5,4,27,0,0,0,0,0,4
"3110079O15Rik",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"3110082I17Rik",18,60,11,3,19,25,128,22,5,0,11,0,0,4
"3110082J24Rik",10,9,0,0,1,0,7,0,0,0,3,0,0,0
"3300002I08Rik",0,1,2,1,2,0,4,8,0,0,4,1,0,0
"3425401B19Rik",0,8,2,2,5,4,23,4,0,0,0,0,0,0
"3632451O06Rik",28,84,53,53,88,59,12,76,0,4,91,34,0,5
"3830403N18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3830406C13Rik",31,108,33,32,43,17,57,100,1,6,60,7,0,1
"3830408C21Rik",2,4,0,4,0,5,2,0,0,0,1,1,0,0
"3830417A13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4430402I18Rik",31,99,45,17,25,19,79,120,0,1,36,6,1,7
"4833420G17Rik",84,225,98,81,91,60,366,133,0,9,92,23,3,24
"4833423E24Rik",0,0,1,0,0,0,10,0,0,0,0,0,0,1
"4833427G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4833439L19Rik",204,723,215,239,239,137,602,622,15,24,219,126,9,25
"4921501E09Rik",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"4921504E06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921507P07Rik",0,1,1,1,0,2,0,0,0,0,1,0,0,0
"4921508M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921509C19Rik",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"4921511C20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921511H03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921511M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921513D11Rik",0,6,1,0,1,2,4,0,0,0,0,0,0,0
"4921513I03Rik",5,0,1,1,0,4,6,1,0,0,1,6,1,0
"4921517D22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921524J17Rik",6,57,13,10,10,15,92,25,0,1,16,1,1,4
"4921524L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921528I07Rik",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"4921530L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921536K21Rik",0,23,2,4,1,2,4,5,0,0,4,0,0,0
"4921539E11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4922502D21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930402F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930402H24Rik",262,764,278,428,289,178,765,393,16,57,401,238,9,111
"4930402K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930404H24Rik",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"4930404N11Rik",0,2,2,8,8,1,5,0,0,0,1,14,0,3
"4930407I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930408O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930412O13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930415F15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930415L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930415O20Rik",0,0,0,0,0,0,6,0,0,0,0,0,0,3
"4930426L09Rik",0,4,2,1,1,1,1,0,0,0,0,0,0,0
"4930427A07Rik",4,3,1,4,2,0,10,0,0,0,0,0,0,0
"4930430A15Rik",0,11,0,4,0,3,14,0,0,0,0,0,0,0
"4930430F08Rik",34,116,29,19,43,28,70,30,9,6,38,22,2,0
"4930432K21Rik",4,22,4,2,1,6,24,1,0,0,5,5,0,0
"4930432M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930433I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930435E12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930438A08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930442H23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930444G20Rik",0,0,1,0,0,0,0,0,2,0,0,0,0,0
"4930444P10Rik",0,4,1,2,5,3,8,4,0,1,9,0,0,12
"4930447A16Rik",0,0,0,0,0,0,6,0,0,0,0,0,0,0
"4930447C04Rik",22,59,44,35,50,8,21,19,0,4,20,27,0,0
"4930447F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930449I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930451G09Rik",4,5,5,4,5,3,7,18,0,0,1,10,0,5
"4930451I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930452B06Rik",7,25,8,5,14,21,46,20,0,4,26,19,0,8
"4930453N24Rik",54,114,39,42,47,26,81,101,0,0,44,13,1,25
"4930455H04Rik",0,1,0,0,0,0,0,0,1,0,0,0,0,0
"4930467E23Rik",20,8,0,0,4,0,0,0,0,0,0,12,0,0
"4930470P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930474N05Rik",0,2,1,0,6,4,18,0,0,0,0,0,0,0
